(Do Not Modify) Advices Amended,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Advice Amended Date Format,Advice Amended Date Original,Advice Code,Created By,Created By (Delegate),Date Timestamp,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Status,Status Reason
55718fb0-7cb7-ea11-a812-000d3a530d85,GHTCzMT7mh4OlKsfSE/yWgiWJ4zHwcF+AWTeskd4eDsu3qZgNA8lce7FexSXkMIymY/DssVhOK6+wqn5+S/+Zg==,6/26/2020 11:37,1,6/26/2020 12:45,9/8/2017 0:00,8-Sep-17,ADVICE-40-004-01,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:07,Vishal Mohan,,Active,Active
67718fb0-7cb7-ea11-a812-000d3a530d85,1b6SGdypiIUvo1A7IzMYUKSdcAg/HgNrR/52W9FW9x5bPSyAh4TOJki+Ch0GWN1Ic+BMZENNhpCH8U4z3/wI0g==,6/26/2020 11:40,10,6/26/2020 12:45,1/30/2018 0:00,30-Jan-18,ADVICE-40-004-15,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:10,Vishal Mohan,,Active,Active
57718fb0-7cb7-ea11-a812-000d3a530d85,/uSQRTOKXxSzBGo1JXidUU/QCF+50198DjiywNBDkTP97AQq3uOiIKY+c6jIR6Zty0Jo+bspj3PGMUsVjBRbIw==,6/26/2020 11:38,2,6/26/2020 12:45,12/9/2015 0:00,9-Dec-15,ADVICE-40-004-03,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:08,Vishal Mohan,,Active,Active
59718fb0-7cb7-ea11-a812-000d3a530d85,XDgz1gaWBq2P7gO4z6RTZEZtS3rOumAoCmdF2BsnA665VARGw0Pjct6S2lYGYnyKQDoQslV4o803lUmHF8BYBA==,6/26/2020 11:38,3,6/26/2020 12:45,9/8/2017 0:00,8-Sep-17,ADVICE-40-004-03,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:08,Vishal Mohan,,Active,Active
5b718fb0-7cb7-ea11-a812-000d3a530d85,03yWyoqwHSWgWRJfi7XvCw0C05TqdJKKffnOKACMts7ljmNJ1K7vwoHQrjmvhbWLikagwtYMZ7ilWQUdfJaeAQ==,6/26/2020 11:38,4,6/26/2020 12:45,9/8/2017 0:00,8-Sep-17,ADVICE-40-004-06,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:08,Vishal Mohan,,Active,Active
5d718fb0-7cb7-ea11-a812-000d3a530d85,otiksLDNKPfMeBXj6JjRgYc1tWcDug6SNSpEsr3IL35IpQMyAba814PxfdMvemdsRTogf3Nq27jR8hhPcA3eMw==,6/26/2020 11:39,5,6/26/2020 12:45,9/8/2017 0:00,8-Sep-17,ADVICE-40-004-07,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:09,Vishal Mohan,,Active,Active
5f718fb0-7cb7-ea11-a812-000d3a530d85,TFqGknYRxBWwyCYpttlwCi7CFcWYKH4tUwSuHCKEweHWdFslHxdli6UkHIiGBS4Y1TzYPRKk1MEPYg7+jYpiBg==,6/26/2020 11:39,6,6/26/2020 12:45,2/27/2013 0:00,27-Feb-13,ADVICE-40-004-08,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:09,Vishal Mohan,,Active,Active
61718fb0-7cb7-ea11-a812-000d3a530d85,Dx8Ckvq4aSlVMYvMoyJwDmm/0z3TmbN4D+OQxtoXKLP6JoyY5PV/mvgNMn5PKNmY9Z2n6OgAM2avRk0oYov7Tw==,6/26/2020 11:39,7,6/26/2020 12:45,2/27/2013 0:00,27-Feb-13,ADVICE-40-004-09,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:09,Vishal Mohan,,Active,Active
63718fb0-7cb7-ea11-a812-000d3a530d85,kAvs9TM5mRHccTwmgxAsMFPBEdSQ2Xex1NmMXV29igSl6lX7iSSB0y6sUKAPlF0Et8gz+xuV2yIWBq6VYahdig==,6/26/2020 11:40,8,6/26/2020 12:45,2/27/2013 0:00,27-Feb-13,ADVICE-40-004-10,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:10,Vishal Mohan,,Active,Active
65718fb0-7cb7-ea11-a812-000d3a530d85,fMkbF3DCkrEkYmtx4t/W07pztIafT6QzMqOplFbGH61XoGvwoXmTNPRY2wmih3Az612piDS9r0o00C5kJua/yQ==,6/26/2020 11:40,9,6/26/2020 12:45,9/8/2017 0:00,8-Sep-17,ADVICE-40-004-11,Vishal Mohan,,6/26/2020 21:00,Vishal Mohan,,6/26/2020 17:10,Vishal Mohan,,Active,Active
